code,name,theme,brief,tags,yahooSymbol
8963,Invincible Investment Corporation,金融,証券/運用,-|証券|金融,8963.T
8964,Frontier Real Estate Investment Corporation,不動産,デベロッパー/reit,不動産,8964.T
8966,Heiwa Real Estate REIT Inc.,不動産,デベロッパー/reit,不動産,8966.T
8967,Japan Logistics Fund Inc.,物流,宅配/物流,-|物流,8967.T
8968,Fukuoka REIT Corporation,不動産,デベロッパー/reit,不動産,8968.T
8972,KDX Realty Investment Corporation,不動産,デベロッパー/reit,不動産,8972.T
8975,Ichigo Office REIT Investment Corporation,不動産,デベロッパー/reit,不動産,8975.T
8976,Daiwa Office Investment Corporation,金融,証券/運用,-|証券|金融,8976.T
8977,Hankyu Hanshin REIT Inc.,不動産,デベロッパー/reit,不動産,8977.T
8979,Starts Proceed Investment Corporation,金融,証券/運用,-|証券|金融,8979.T
8984,Daiwa House REIT Investment Corporation,不動産,デベロッパー/reit,不動産,8984.T
8985,Japan Hotel REIT Investment Corporation,不動産,デベロッパー/reit,不動産,8985.T
8986,Daiwa Securities Living Investment Corporation,証券,ネット証券/大手,-,8986.T
8987,Japan Excellent Inc.,-,-,-,8987.T
8995,Makoto Construction Co. Ltd.,建設,ゼネコン/施工,-,8995.T
8996,Housefreedom Co. Ltd.,-,-,-,8996.T
8999,Grandy House Corporation,-,-,-,8999.T
9000,9000,-,-,-,9000.T
9001,"Tobu Railway Co., Ltd.",鉄道,運輸/インフラ,-,9001.T
9003,Sotetsu Holdings Inc.,-,-,-,9003.T
9005,Tokyu Corporation,鉄道,私鉄/運輸,-|運輸|鉄道,9005.T
9006,Keikyu Corporation,-,-,-,9006.T
9007,"Odakyu Electric Railway Co., Ltd.",電機,エレクトロニクス,電機,9007.T
9008,Keio Corporation,鉄道,私鉄/運輸,-|運輸|鉄道,9008.T
9009,"Keisei Electric Railway Co., Ltd.",電機,エレクトロニクス,電機,9009.T
9010,"Fuji Kyuko Co., Ltd.",-,-,-,9010.T
9012,"Chichibu Railway Co., Ltd.",鉄道,運輸/インフラ,-,9012.T
9017,"Niigata Kotsu Co., Ltd.",-,-,-,9017.T
9020,East Japan Railway Company,鉄道,運輸/インフラ,-,9020.T
9021,West Japan Railway Company,鉄道,運輸/インフラ,-,9021.T
9022,Central Japan Railway Company,鉄道,運輸/インフラ,-,9022.T
9023,"Tokyo Metro Co., Ltd.",-,-,-,9023.T
9024,Seibu Holdings Inc.,鉄道,私鉄/運輸,-|運輸|鉄道,9024.T
9025,"Konoike Transport Co., Ltd.",インフラ,港湾/物流,-|インフラ|物流,9025.T
9027,Loginet Japan Inc.,-,-,-,9027.T
9028,Zero Co Ltd.,-,-,-,9028.T
9029,"Higashi Twenty One Co., Ltd.",エネルギー,原油/ガス/電力,エネルギー,9029.T
9031,"Nishi-Nippon Railroad Co., Ltd.",ネットサービス,プラットフォーム/広告,it,9031.T
9033,"Hiroshima Electric Railway Co., Ltd.",電機,エレクトロニクス,電機,9033.T
9034,"Nanso Transport Co., Ltd.",インフラ,港湾/物流,-|インフラ|物流,9034.T
9035,DAIICHI KOUTSU SANGYO CO LTD,-,-,-,9035.T
9036,"Tohbu Network Co., Ltd.",-,-,-,9036.T
9037,"Hamakyorex Co., Ltd.",-,-,-,9037.T
9039,"Sakai Moving Service Co., Ltd.",-,-,-,9039.T
9041,"Kintetsu Group Holdings Co., Ltd.",-,-,-,9041.T
9042,Hankyu Hanshin Holdings Inc.,鉄道,私鉄/運輸,-|運輸|鉄道,9042.T
9044,"Nankai Electric Railway Co., Ltd.",電機,エレクトロニクス,電機,9044.T
9045,"Keihan Holdings Co., Ltd.",-,-,-,9045.T
9046,"Kobe Electric Railway Co., Ltd.",電機,エレクトロニクス,電機,9046.T
9048,"Nagoya Railroad Co., Ltd.",ネットサービス,プラットフォーム/広告,it,9048.T
9049,"Keifuku Electric Railroad Co., Ltd.",電機,エレクトロニクス,電機,9049.T
9051,"Senkon Logistics Co., Ltd.",物流,宅配/物流,-|物流,9051.T
9052,"Sanyo Electric Railway Co., Ltd.",電機,エレクトロニクス,電機,9052.T
9057,"Enshu Truck Co., Ltd.",-,-,-,9057.T
9059,"Kanda Holdings Co., Ltd.",-,-,-,9059.T
9060,Japan Logistic Systems Corp.,itサービス,ソフト/クラウド,it,9060.T
9062,"Nippon Express Co., Ltd.",物流,輸送/宅配,-|物流,9062.T
9063,Okayama-Ken Freight Transport Company Ltd.,インフラ,港湾/物流,-|インフラ|物流,9063.T
9064,"Yamato Holdings Co., Ltd.",物流,宅配/物流,-|物流,9064.T
9065,Sankyu Inc.,-,-,-,9065.T
9066,Nissin Corporation,食品,加工/飲料,食品,9066.T
9067,Maruwa Unyu Kikan Co. Ltd.,-,-,-,9067.T
9068,"Maruzen Showa Unyu Co., Ltd.",-,-,-,9068.T
9069,"Senko Group Holdings Co., Ltd.",-,-,-,9069.T
9072,"Nikkon Holdings Co., Ltd.",-,-,-,9072.T
9073,"Kyogoku Unyu Shoji Co., Ltd.",-,-,-,9073.T
9074,"Japan Oil Transportation Co., Ltd.",エネルギー,原油/ガス/電力,エネルギー,9074.T
9075,"Fukuyama Transporting Co., Ltd.",インフラ,港湾/物流,-|インフラ|物流,9075.T
9076,"Seino Holdings Co., Ltd.",-,-,-,9076.T
9081,"Kanagawa Chuo Kotsu Co., Ltd.",航空,運輸/エアライン,-,9081.T
9082,"Daiwa Motor Transportation Co., Ltd.",インフラ,港湾/物流,-|インフラ|物流,9082.T
9083,"Shinki Bus Co., Ltd.",-,-,-,9083.T
9085,Hokkaido Chuo Bus Co. Ltd.,-,-,-,9085.T
9087,Takase Corporation,-,-,-,9087.T
9090,Az-Com Maruwa Holdings Inc.,-,-,-,9090.T
9101,Nippon Yusen Kabushiki Kaisha,海運,運輸/コンテナ・ばら積み,-,9101.T
9104,"Mitsui O.S.K. Lines, Ltd.",海運,運輸/コンテナ・ばら積み,-,9104.T
9107,Kawasaki Kisen Kaisha Ltd.,海運,運輸/コンテナ・ばら積み,-,9107.T
9110,NS United Kaiun Kaisha Ltd.,itサービス,ソフト/クラウド,it,9110.T
9115,Meiji Shipping Group Co. Ltd.,食品,加工/飲料,食品,9115.T
9119,Iino Kaiun Kaisha Ltd.,-,-,-,9119.T
9127,Tamai Steamship Co Ltd.,-,-,-,9127.T
9130,"Kyoei Tanker Co., Ltd.",-,-,-,9130.T
9142,Kyushu Railway Company,鉄道,運輸/インフラ,-,9142.T
9143,"SG Holdings Co., Ltd.",物流,宅配/物流,-|物流,9143.T
9145,"Being Holdings Co., Ltd.",-,-,-,9145.T
